,Timestamp,BTC-USD-Daily
952,1450650260000.0,441.045
953,1450736664000.0,436.033
954,1450823362000.0,439.136
955,1450909762000.0,442.987
956,1450996160000.0,454.293
957,1451082561000.0,456.03
958,1451168962000.0,419.127
959,1451255362000.0,423.26
960,1451341761000.0,419.759
961,1451428162000.0,430.244
962,1451514562000.0,427.452
963,1451600962000.0,430.84
964,1451687361000.0,434.221
965,1451773763000.0,433.444
966,1451860162000.0,427.509
967,1451946563000.0,433.746
968,1452032958000.0,432.198
969,1452119356000.0,430.805
970,1452206058000.0,454.248
971,1452292457000.0,453.716
972,1452378856000.0,449.557
973,1452465557000.0,445.916
974,1452551959000.0,448.21
975,1452639259000.0,445.932
976,1452725659000.0,432.285
977,1452812059000.0,430.633
978,1452898459000.0,375.468
979,1452984859000.0,382.775
980,1453071857000.0,387.313
981,1453158259000.0,387.038
982,1453244659000.0,382.212
983,1453331059000.0,417.34
984,1453418359000.0,410.273
985,1453504763000.0,378.538
986,1453591764000.0,389.1
987,1453678758000.0,403.934
988,1453765159000.0,392.511
